salesman number,salesman,gender,age,mobile phone,supply center,industry
12110809,Lv Qiufeng,Female,19,15088530748,Eastern China,Internet
11812628,Zheng Runyi,Male,22,15613461351,Eastern China,Internet
11612519,Dou Youqing,Female,24,18695976535,Eastern China,Internet
12111414,Jiang Qizhen,Female,19,15648228450,Eastern China,Internet
12011919,Alistair Smith,Male,20,18957760110,Europe,Foodstuff
11311100,Jode Evans,Female,27,15015836603,Europe,Foodstuff
11610329,Ross Edwards,Male,24,15082403377,Europe,Foodstuff
11112326,Steven Taylor,Male,29,13838231084,Europe,Foodstuff
11610803,Andrew Johnson,Male,24,13909231636,Europe,Foodstuff
11110725,Juliana Harris,Female,29,18980805234,Europe,Foodstuff
12012220,Fidelia Hall,Female,20,15028279376,Europe,Foodstuff
11112911,Ted White,Male,29,13872798954,Europe,Foodstuff
12112727,Polly Walker,Female,19,15662365107,Europe,Foodstuff
11710106,Emlyn Clarke,Male,23,15608040152,Europe,Foodstuff
11211510,Nicole Taylor,Female,28,15605395407,Europe,Foodstuff
11910621,Mimi Jackson,Female,21,13938227972,Europe,Foodstuff
12212123,Basil White,Male,18,18908173824,Europe,Foodstuff
12111625,Cynthia Patel,Female,19,18678419999,Europe,Foodstuff
12111906,Irwin Green,Male,19,13848256680,Europe,Foodstuff
11711710,Priscilla Thompson,Female,23,15659160287,Europe,Foodstuff
11711701,Carrie Clarke,Female,23,15656026139,Europe,Bank
11510201,Dulcie Patel,Female,25,18983135639,Europe,Bank
11810914,Debby Williams,Female,22,18643905431,Europe,Bank
11612521,Ralph Thompson,Male,24,18998586749,America,Retail
12110421,Lou Green,Male,19,13891114271,America,Retail
11212200,Nicholas Hughes,Male,28,18675499803,America,Retail
11411929,Gracie Thomas,Female,26,15616426004,America,Retail
11611508,Martina Patel,Female,24,15636960302,America,Retail
11911204,Malcolm Brown,Male,21,13929836941,America,Retail
12012309,Colin Jones,Male,20,15041003332,America,Retail
11210120,Vivian Brown,Male,28,13987264599,America,Retail
12211614,Wayne Taylor,Male,18,15070303753,America,Retail
11811426,Theobald Robinson,Male,22,13830333964,Europe,Bank
11810625,Katharine Thompson,Female,22,18622890184,Europe,Bank
11312521,Alistair Lewis,Male,27,13891971811,Europe,Bank
11212008,Rosalind Harris,Female,28,13821309686,Europe,Bank
11210622,Samuel Johnson,Male,28,15636249914,Europe,Bank
11311906,Tessa White,Female,27,13963976928,Europe,Retail
11211002,Lisa Smith,Female,28,18924197525,Europe,Retail
11612024,Bernie Smith,Male,24,13970817292,Europe,Retail
11910916,Joseph Taylor,Male,21,13982600859,Europe,Retail
11611210,Camilla Thompson,Female,24,13933012299,Europe,Retail
11510416,Joseph Davies,Male,25,13853290517,Europe,Retail
11611627,Christine Evans,Female,24,18690580198,Europe,Retail
11910210,Sophia Davies,Female,21,13951024215,Europe,Retail
